class,text,username,tgl
Pos,siapapun pemimpin yang telah terpilih dan akan terpilih itulah yang terbaik pada saat tersebut, percayakan pada ketetapan allah #terimakasih2018 #HappyNewYear #PemimpinAdemDamai #Presidenku,@Ibr_musthofa,30/12/2018 
Pos,Dari aspek strategi kampanye. kubu paslon nomor 01 menggunakan strategi positif campaign. #NeoOrdeBaru #Pilpres2019 #SayNoToOrba,@sitinyadia,05/01/2019
Pos,Setelah baca kisah ini jadi tambah ngerti kalo pak @prabowo  sosok yg tegas disiplin dan penuh tanggung jawab#presidenku,@mascacuk78,29/11/2018
Pos,Emang Pak jokowi Kerja Nyata, hasilnya juga nyata #4TahunJokowi #2019JokowiKyaiMaruf #2019TetapJokowi #TetapJokowi #Jokowi2Periode #IndonesiaMaju #Jokowi #MarufAmin #pilpres #pilpres2019 #4TahunJokowiJK #IngatJokowi #TransJawa #InfrastrukturJokowi,@IkhsanAbbas,31/12/2018
Pos,Pak Jokowi #PresidenKu selalu bekerja dengan Hati..rakyat yang melihat dengan nurani pasti memberikan Apresiasi..Janganlah  sudut pandang ditutupi iri, amarah dan dengki..hasilnya hanya rasa Frustasi..lalu kebingungan karena tidak bisa menonjolkan Prestasi !! #JokowiSekaliLagi,elsye_0704,16/04/2018
Neg,orang gila disuruh ikut nyoblos.. Berarti mereka berhak dong untuk daftar jadi presiden... Sebenarnya siapa sih yang gila.. Aku mah gk mau pny presiden org gila #prabowosandi #Presidenku,@Abysatria,15/12/2018
Neg, Rasanya aneh saja juga bila orang2 yang dikirim dalam debat justru adl orang-orang yg pandai membuat gaduh dan kontroversi dgn sikap defensif dan ofensif berlebihan, seperti sinetron saja. Kenapa tidak dimunculkan yg bisa benar berdiskusi/berdebat dgn baik. Aneh. #pilpres2019,@lubis_mariska,05/01/2019
Neg,Wkwkwk. akeh wong stres..sbg rakyat saya kok semakin semangat utk menjungkalkan Prabowo utk jadi presiden. Bismillah mulai mengorganisir rakyat kembali.#presidenku,@haryaswanfood,03/02/2018
Neg,Prabowo melakukan pendekatan negatif ini yang berbahaya #NeoOrdeBaru #Pilpres2019, @GreenKinara,05/01/2019
Neg,Prabowo kurang pantas menjadi RI-1..rekam jejaknya buruk sebagai mantan Danjen Kopassus di militer.#capreskardus#pilpres2019,@ArdiMahardika15,05/01/2019
